Brand,Model,Year,engine model,Engine,Max Power,Seats
Chevrolet,Suburban RST,2021,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Hyundai,Elantra N Base,2022,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Nissan,Sentra SR,2016,1.8 Liter,,,
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,650 Gran Coupe i xDrive,2015,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 2.0T Premium Plus,2017,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,,,
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 1500 Laramie Mega Cab,2006,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
BMW,i3 120Ah w/Range Extender,2020,120 AH,,,
Kia,Sorento SX,2011,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,LX 570 Base,2016,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,New Compass Trailhawk,2017,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
BMW,340 i,2018,3.0 Liter Turbo,,,
Audi,A4 2.0T Premium Plus quattro,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Hyundai,Tucson SE,2007,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
BMW,Z4 sDrive28i,2014,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GTC Base,2011,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,,,
Honda,Passport Elite,2023,3.5 Liter SOHC,,,
Dodge,Sprinter 2500,2007,3.0L V6 Cylinder Engine Diesel Fuel,,,
BMW,M850 i xDrive,2019,4.4 Liter DOHC Twin Turbo,,,
Lucid,Air Grand Touring,2022,536.0HP Electric Motor Electric Fuel System,,,
Audi,A7 Premium,2012,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 Custom Trail Boss,2021,5.3L V8 16V GDI OHV,,,
MINI,Convertible John Cooper Works,2017,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Avalon Touring,2016,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayenne Platinum Edition,2017,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG C 63 S,2017,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Honda,CR-V EX-L,2016,2.4L I4 16V GDI DOHC,,,
Hummer,H2 Base,2005,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera S,2013,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,CLA-Class CLA 250,2016,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chrysler,300 Touring,2009,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,Rogue SV,2023,1.5L I3 12V GDI DOHC Turbo,,,
Audi,A3 2.0T,2010,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang GT Premium,2014,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Acura,RL Technology,2010,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Volvo,XC90 Hybrid T8 R-Design,2018,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Audi,R8 5.2 V10,2018,5.2L V10 40V PDI DOHC,,,
Mercedes-Benz,GLK-Class GLK 350,2014,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,C-HR LE,2021,2.0 Liter,,,
Lexus,IS 350 Base,2014,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X4 M40i,2023,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
BMW,M4 CS,2019,3.0 Liter DOHC Turbo,,,
Cadillac,CT5 Premium Luxury,2023,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Lucid,Air Grand Touring,2022,536.0HP Electric Motor Electric Fuel System,,,
Audi,A5 2.0T Premium Plus,2019,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chrysler,300C SRT8,2006,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GT W12,2017,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
BMW,M4 Base,2019,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Toyota,GR Corolla Circuit Edition,2023,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,,,
Audi,RS 5 2.9T,2019,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayenne Base,2019,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Lamborghini,Huracan Tecnica Coupe,2023,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",,,
Maserati,Quattroporte S,2019,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Jaguar,XF 35t R-Sport,2017,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,ES 330 Base,2005,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Discovery Sport SE R-Dynamic,2020,2.0 Liter,,,
Porsche,Cayman GTS,2015,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
Genesis,G90 3.3T Premium,2021,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Golf R 20th Anniversary Edition,2023,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Hyundai,Sonata Hybrid Limited,2015,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,,,
Audi,RS 7 4.0T Prestige,2014,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,740 Li,2012,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLS 450 Base 4MATIC,2020,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
BMW,M6 Base,2016,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Forester 2.5 X,2004,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Hyundai,Elantra N Base,2023,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Niro Plug-In Hybrid EX Premium,2022,1.6L I4 16V GDI DOHC Hybrid,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
Aston,Martin DBS Superleggera,2021,5.2L V12 48V GDI DOHC Twin Turbo,,,
Mercedes-Benz,SLC 300 Base,2018,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,435 Gran Coupe i,2016,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Cherokee Summit,2020,5.7L V8 16V MPFI OHV,,,
Lexus,RC 350 Base,2015,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,525 i,2005,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,,,
Toyota,Corolla LE,2003,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,CT5-V Blackwing,2023,6.2L V8 16V GDI OHV Supercharged,,,
GMC,Acadia SLT-1,2012,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,LC 500 Base,2020,5.0L V8 32V PDI DOHC,,,
BMW,i8 Base,2019,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,,,
Lexus,ES 300h Base,2013,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Cadillac,CT5-V V-Series,2022,3.0L V6 24V GDI DOHC Twin Turbo,,,
BMW,540 i xDrive,2020,2.0 Liter Turbo,,,
Chevrolet,Express 1500 Work Van,2014,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Gladiator Rubicon,2022,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
BMW,Z4 sDrive28i,2014,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover LR4 HSE LUX Landmark Edition,2016,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,XT4 Sport,2019,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,750 750i xDrive,2021,4.4 Liter Twin Turbo,,,
Bentley,Arnage R,2005,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,,,
Lincoln,Aviator Reserve AWD,2020,3.0 Liter GTDI,,,
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
RAM,ProMaster 3500 High Roof,2021,3.6L V6 24V MPFI DOHC,,,
Ford,Utility Police Interceptor Base,2013,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,,,
Audi,A5 2.0T Premium,2011,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Nissan,GT-R Premium,2010,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,V6,,,
Toyota,Corolla LE,2010,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,C-Class C300 4MATIC,2022,2.0 Liter Turbo,,,
Porsche,Cayenne E-Hybrid S,2016,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,,,
Chevrolet,Express 1500 Work Van,2011,5.3L V8 16V MPFI OHV Flexible Fuel,,,
INFINITI,Q70h Base,2016,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,,,
Audi,A7 Premium Plus,2020,3.0 Liter Turbo,,,
Audi,Q7 3.0T Premium Plus,2015,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Lucid,Air Pure,2023,620.0HP Electric Motor Electric Fuel System,,,
Audi,TTS 2.0T Premium Plus,2012,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,650 Gran Coupe i xDrive,2015,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Forester Premium,2021,2.5L H4 16V GDI DOHC,,,
Mercedes-Benz,AMG C AMG C 63,2016,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover LR3 HSE,2006,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X7 xDrive40i,2019,3.0 Liter Twin Turbo,,,
Ford,Transit Connect XLT,2015,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,LX 570 Three-Row,2021,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera S,2013,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 2500 Laramie Quad Cab,2006,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Armada SL,2021,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayman Base,2014,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLE 450 GLE 450,2022,3.0 Liter Turbo,,,
Chevrolet,Monte Carlo SS,2006,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M5 Base,2013,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Hyundai,Kona N Base,2023,2.0L I4 16V GDI DOHC Turbo,,,
Chevrolet,Monte Carlo SS,2005,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Evoque Pure,2015,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,S7 4.0T Premium Plus,2017,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Acadia SLT-1,2011,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Alfa,Romeo Stelvio Ti Sport,2020,2.0L I4 16V GDI SOHC Turbo,,,
Ferrari,FF Base,2016,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,,,
Kia,K900 5.0L,2017,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,E150 XLT,2013,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,,,
Tesla,Model 3 Performance,2022,455.0HP Electric Motor Electric Fuel System,,,
Toyota,4Runner SR5,2022,4.0L V6 24V MPFI DOHC,,,
Subaru,Forester Base,2020,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,Panamera 2,2012,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Tacoma PreRunner,2008,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Laramie,2019,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,,,
Kia,Sportage Nightfall,2022,2.4L I4 16V GDI DOHC,,,
Cadillac,DTS Base,2010,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Land Cruiser Base,1997,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,,,
Nissan,GT-R Premium,2020,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,NX 350 F SPORT Handling,2023,2.4 Liter,,,
Audi,Q7 45 Premium Plus,2021,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,LX 470 Base,1999,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Terrain SLE,2022,1.5L I4 16V GDI DOHC Turbo,,,
Ford,Escape Limited,2012,171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,LS 460 L,2014,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition Platinum,2019,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Malibu LTZ,2010,252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Audi,RS 7 4.0T quattro,2023,4.0L V8 32V GDI DOHC Twin Turbo,,,
Audi,A5 2.0T Premium Plus,2015,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Genesis,G70 2.0T,2023,2.0L I4 16V GDI DOHC Turbo,,,
Chevrolet,Trailblazer LS,2021,1.3L I3 12V GDI DOHC Turbo,,,
Scion,tC Base,2013,180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKZ Hybrid Base,2014,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,,,
Ford,Transit-350 XL,2018,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,,,
Porsche,911 GT2 RS,2018,3.8L H6 24V GDI DOHC Twin Turbo,,,
Ford,Explorer Timberline,2021,2.3L I4 16V GDI DOHC Turbo,,,
Volvo,XC90 3.2,2011,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Avalanche LTZ,2013,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Audi,TT RS 2.5T,2018,400.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,,,
Lincoln,Navigator L,2008,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,,,
Hyundai,Elantra GLS,2010,138.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,SQ5 3.0T Premium Plus,2016,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Mitsubishi,Lancer Evolution GSR,2012,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Performance,2023,455.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,Maybach S S 600,2016,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Nissan,GT-R Premium,2017,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLS 550 Base 4MATIC,2018,4.7 Liter Twin Turbo,,,
Chevrolet,Blazer Premier,2019,3.6L V6 24V GDI DOHC,,,
Mazda,CX-9 Grand Touring,2021,2.5L I4 16V GDI DOHC Turbo,,,
Ford,Expedition Max Limited,2022,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,Titan XD SV,2020,5.6L V8 32V GDI DOHC,,,
Lexus,LX 570 Three-Row,2019,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Traverse Premier,2020,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Sprinter High Roof,2014,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
BMW,X5 3.0i,2004,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Ford,Fusion SE,2018,181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKZ Base,2015,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,GT,2005,5.4 Liter SC DOHC,,,
Genesis,G90 5.0 Ultimate,2017,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,LC 500 Base,2022,5.0L V8 32V PDI DOHC,,,
Ford,Shelby GT500 Base,2014,5.8L V8 32V MPFI DOHC Supercharged,,,
Saturn,Sky Base,2008,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Audi,RS Q8 4.0T quattro,2022,4.0L V8 32V GDI DOHC Twin Turbo,,,
Toyota,Land Cruiser,2016,5.7 Liter,,,
Mercedes-Benz,SL-Class SL 550,2013,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera C2S,2005,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,375.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Taurus X Limited,2008,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,440 Gran Coupe i,2018,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Honda,S2000 CR,2008,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,,,
Acura,Integra w/A-Spec Tech Package,2023,1.5 Liter Turbo,,,
Ford,Excursion Limited,2001,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,SL-Class SL500 Roadster,2004,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,CLS-Class CLS 550,2007,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,G35 Sport,2007,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Golf GTI 2.0T S 4-Door,2016,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Dodge,Challenger R/T Scat Pack,2022,6.4L V8 16V MPFI OHV,,,
Lincoln,Navigator L Reserve,2019,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Maserati,Ghibli S Q4,2015,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Base,2023,670.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,AMG G 63 Base,2018,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition Limited,2018,3.5 Liter GTDI,,,
Volkswagen,Routan SE,2012,283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Bugatti,Veyron 16.4 Grand Sport,2011,8.0L W16 64V GDI DOHC Twin Turbo,,,
Toyota,Highlander XLE,2020,3.5L V6 24V PDI DOHC,,,
Honda,Civic LX,2016,2.0L I4 16V MPFI DOHC,,,
Jeep,Wrangler Unlimited Sahara,2017,3.6L V6 24V MPFI DOHC,,,
Land,Rover Range Rover Supercharged,2008,400.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Acura,ILX 2.0L w/Premium Package,2015,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,M6 Base,2016,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Polestar,2 Launch Edition,2021,Electric,,,
BMW,X6 sDrive35i,2016,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayman S,2014,325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
Lincoln,Corsair Grand Touring,2021,266.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,,,
Cadillac,DTS Luxury II,2008,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,ATS 3.6L Luxury,2016,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 1500 SLT,2016,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,G37 x,2009,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Transit-350 XLT,2023,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,XTS Luxury,2018,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,NV Passenger NV3500 HD SL V8,2017,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLS 450 Base 4MATIC,2019,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Land Cruiser Base,2008,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Land Cruiser Base,2016,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
RAM,ProMaster 2500 Window Van High Roof,2016,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Lamborghini,Gallardo Base,2007,493.0HP 5.0L 10 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKZ Base,2011,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,EQS 450 4MATIC,2023,355.0HP Electric Motor Electric Fuel System,,,
Lamborghini,Huracan Tecnica Coupe,2023,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",,,
Alfa,Romeo Giulia Quadrifoglio,2022,2.9L V6 24V GDI DOHC Twin Turbo,,,
Chevrolet,Trailblazer LT,2021,1.2L I3 12V GDI DOHC Turbo,,,
Lamborghini,Urus Base,2021,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,G37 x,2013,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Maserati,Levante S,2017,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Highlander Limited,2022,3.5L V6 24V PDI DOHC,,,
Nissan,Armada SL,2022,5.6 Liter,,,
Audi,Q5 Premium,2023,2.0 Liter TFSI,,,
Ford,Shelby GT500 Base,2022,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,,,
Lincoln,Navigator L Reserve,2019,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,EQS 450+ Base,2022,329.0HP Electric Motor Electric Fuel System,,,
RAM,1500 Laramie,2022,5.7L V8 16V MPFI OHV,,,
Lincoln,Town Car Base,2004,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Acura,TLX w/A-Spec Package,2022,2.0 Liter DOHC Turbo,,,
Toyota,Camry Hybrid LE,2022,2.5L I4 16V PDI DOHC Hybrid,,,
Honda,CR-V EX,2003,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,E-Class E 550,2014,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Mazda,MX-5 Miata Grand Touring,2007,166.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,718 Boxster Base,2019,300.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Transit-350 XLT,2015,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Kia,Sportage SX Turbo,2017,2.0L I4 16V GDI DOHC Turbo,,,
INFINITI,G37 S Sport,2010,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,Titan XD S,2019,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Audi,S7 2.9T Prestige,2021,444.0HP 2.9L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Land,Rover Discovery HSE,2019,3.0 Liter,,,
Ford,Transit-350 XLT,2020,210.0HP 2.0L 4 Cylinder Engine Diesel Fuel,,,
INFINITI,Q70 3.7,2014,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Gladiator Rubicon,2022,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKX Base,2010,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera 4S,2020,3.0L H6 24V GDI DOHC Twin Turbo,,,
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayman Base,2014,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,,,
Acura,MDX 3.7L Advance,2011,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
