Brand,Model,Year,Age,Kilometer,Fuel Type,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Honda,City i DTEC VX,2015,10,135000,Diesel,Diesel,1498 CC,98.6 bhp,Manual,5,630000
Maruti,Wagon R AMT VXI,2018,7,30000,Petrol,Petrol,998 CC,67 bhp,Automatic,5,448000
Volkswagen,Ameo 1.5 TDI Comfortline,2017,8,80000,Diesel,Diesel,1498 CC,108.62 bhp,Manual,5,500000
Maruti,Vitara Brezza VDi,2016,9,70000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,745000
Maruti,Vitara Brezza ZDi Plus AMT,2019,6,9850,Diesel,Diesel,1248 CC,88.5 bhp,Automatic,5,1025000
Hyundai,i10 Magna,2011,14,60000,Petrol,Petrol,1197 CC,78.9 bhp,Manual,5,235000
Maruti,Swift VDI Deca,2016,9,70000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,630000
Toyota,Fortuner 4x4 MT,2015,10,78000,Diesel,Diesel,2982 CC,168.5 bhp,Manual,7,1700000
Maruti,Swift Star VDI,2013,12,120000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,450000
Maruti,Ertiga ZXI,2012,13,120000,Petrol,Petrol,1373 CC,93.7 bhp,Manual,7,450000
Volkswagen,Vento Diesel Highline,2013,12,170000,Diesel,Diesel,1598 CC,103.6 bhp,Manual,5,450000
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2016,9,140000,Diesel,Diesel,2494 CC,100.6 bhp,Manual,8,1200000
Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,2015,10,90000,Diesel,Diesel,1498 CC,98.59 bhp,Manual,5,610000
BMW,X1 sDrive20i xLine,2016,9,30000,Petrol,Petrol,1998 CC,189 bhp,Automatic,5,2500000
Maruti,Celerio ZXI MT BSIV,2017,8,10000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,484999
Datsun,GO A Petrol,2016,9,49000,Petrol,Petrol,1198 CC,67.05 bhp,Manual,5,275000
Maruti,Alto 800 VXI BSIV,2016,9,32000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,315000
Maruti,Alto 800 LXI BSIV,2016,9,38000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,275000
Hyundai,i10 Era 1.1,2012,13,28000,Petrol,Petrol,1086 CC,68.05 bhp,Manual,5,290000
Maruti,Omni 8 Seater BSIV,2017,8,32000,Petrol,Petrol,796 CC,35 bhp,Manual,5,280000
Maruti,Wagon R LXI LPG BSIV,2010,15,44000,LPG,Other,998 CC,58.2 bhp,Manual,5,225000
Volkswagen,Polo 1.2 MPI Comfortline,2015,10,42000,Petrol,Petrol,1198 CC,74 bhp,Manual,5,455000
Hyundai,i10 Magna 1.1L,2015,10,45000,Petrol,Petrol,1086 CC,68.05 bhp,Manual,5,351000
Volkswagen,Vento Petrol Highline,2012,13,12000,Petrol,Petrol,1598 CC,103.6 bhp,Manual,5,535000
Maruti,Zen Estilo LXI BSIII,2009,16,55500,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,175000
Hyundai,i20 Asta Optional with Sunroof 1.2,2013,12,61500,Petrol,Petrol,1197 CC,82.85 bhp,Manual,5,525000
Maruti,Swift Dzire LDI,2016,9,150000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,600000
Hyundai,Xcent 1.2 Kappa SX Option AT,2016,9,72000,Petrol,Petrol,1197 CC,82 bhp,Automatic,5,565000
Maruti,Alto LX BSIII,2008,17,68000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,120000
Hyundai,i20 1.4 Asta Option,2017,8,110000,Diesel,Diesel,1396 CC,88.73 bhp,Manual,5,725000
Maruti,Wagon R VXI,2009,16,77000,Petrol,Petrol,998 CC,67.05 bhp,Manual,5,185000
Tata,Manza Aura (ABS) Quadrajet,2010,15,100000,Diesel,Diesel,1248 CC,90 bhp,Manual,5,200000
Maruti,Swift VXI,2019,6,10000,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,615000
Maruti,Eeco 7 Seater Standard BSIV,2016,9,100000,Petrol,Petrol,1196 CC,73 bhp,Manual,7,270000
Maruti,Baleno Zeta 1.2,2018,7,35000,Petrol,Petrol,1197 CC,83.1 bhp,Manual,5,610000
Mahindra,Scorpio VLX AT AIRBAG BSIV,2014,11,70000,Diesel,Diesel,2179 CC,120 bhp,Automatic,8,625000
Ford,Freestyle Titanium Petrol BSIV,2020,5,5000,Petrol,Petrol,1194 CC,94.68 bhp,Manual,5,400000
Hyundai,Verna VTVT 1.6 SX,2017,8,37800,Petrol,Petrol,1591 CC,121.3 bhp,Manual,5,866000
Volkswagen,Passat 1.8 TSI MT,2010,15,114000,Petrol,Petrol,1798 CC,160 bhp,Manual,5,700000
Tata,Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,15,48000,Petrol,Petrol,1172 CC,65 bhp,Manual,5,300000
Mahindra,XUV500 W11 Option AWD,2019,6,32000,Diesel,Diesel,2179 CC,155 bhp,Manual,7,1700000
Tata,Indigo CS LS (TDI) BS-III,2016,9,100000,Diesel,Diesel,1405 CC,69.01 bhp,Manual,5,375000
Hyundai,Verna 1.6 SX,2013,12,150000,Diesel,Diesel,1582 CC,126.32 bhp,Manual,5,522000
Hyundai,i20 Magna 1.4 CRDi (Diesel),2013,12,69000,Diesel,Diesel,1396 CC,88.76 bhp,Manual,5,451999
Toyota,Corolla Altis G,2009,16,100000,Petrol,Petrol,1798 CC,138.1 bhp,Manual,5,300000
Maruti,Celerio VXI,2020,5,13000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,475000
Maruti,Vitara Brezza ZDi Plus Dual Tone,2016,9,60000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,780000
Maruti,Swift Dzire VXI,2017,8,40000,Petrol,Petrol,1197 CC,83.14 bhp,Manual,5,595000
Maruti,Wagon R VXI BS IV,2017,8,35000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,440000
Nissan,Terrano XL 85 PS,2014,11,70000,Diesel,Diesel,1461 CC,83.8 bhp,Manual,5,400000
Hyundai,Creta 1.6 CRDi SX,2016,9,50000,Diesel,Diesel,1582 CC,126.2 bhp,Manual,5,1140000
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2017,8,76139,Diesel,Diesel,1498 CC,98.96 bhp,Manual,5,850000
Maruti,Swift Dzire VDi,2012,13,175000,Diesel,Diesel,1248 CC,73.9 bhp,Manual,5,370000
Renault,KWID 1.0,2018,7,25000,Petrol,Petrol,999 CC,67 bhp,Manual,5,350000
Maruti,Celerio VXI,2015,10,40000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,360000
Maruti,Alto LXi,2008,17,65000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,105000
Maruti,Ertiga VDI,2013,12,90000,Diesel,Diesel,1248 CC,88.76 bhp,Manual,7,625000
Hyundai,Santro Xing GLS,2009,16,80000,Petrol,Petrol,1086 CC,62.1 bhp,Manual,5,135000
Maruti,Ertiga VDI,2015,10,110000,Diesel,Diesel,1248 CC,88.76 bhp,Manual,7,700000
Honda,Amaze S i-VTEC,2019,6,1303,Petrol,Petrol,1198 CC,86.7 bhp,Manual,5,690000
Audi,Q5 35TDI Premium Plus,2018,7,31800,Diesel,Diesel,1968 CC,188 bhp,Automatic,5,3975000
Lexus,ES 300h,2019,6,20000,Petrol,Petrol,2487 CC,214.56 bhp,Automatic,5,5150000
Jaguar,XF 2.0 Diesel Portfolio,2017,8,45000,Diesel,Diesel,1999 CC,177 bhp,Automatic,5,3200000
Jeep,Wrangler 2016-2019 3.6 4X4,2017,8,17000,Petrol,Petrol,3604 CC,280 bhp,Automatic,5,4100000
Land,Rover Discovery Sport TD4 SE,2019,6,21000,Diesel,Diesel,1999 CC,148.31 bhp,Automatic,7,4500000
Mercedes-Benz,S-Class S 350 CDI,2017,8,37000,Diesel,Diesel,2987 CC,254.79 bhp,Automatic,5,6000000
BMW,5 Series 520d Sport Line,2018,7,29500,Diesel,Diesel,1995 CC,187.74 bhp,Automatic,5,3790000
BMW,X4 M Sport X xDrive20d,2019,6,7500,Diesel,Diesel,1995 CC,190 bhp,Automatic,5,5800000
Skoda,Superb LK 1.8 TSI AT,2018,7,50000,Petrol,Petrol,1798 CC,177.46 bhp,Automatic,5,1864999
Mercedes-Benz,E-Class E250 Edition E,2016,9,35000,Diesel,Diesel,2143 CC,204 bhp,Automatic,5,2700000
MG,Hector Sharp AT BSIV,2019,6,19000,Petrol,Petrol,1451 CC,141 bhp,Automatic,5,1750000
Honda,City i-VTEC CVT VX,2017,8,41000,Petrol,Petrol,1497 CC,117.6 bhp,Automatic,5,795000
Toyota,Corolla Altis 1.8 G CVT,2013,12,39000,Petrol,Petrol,1798 CC,138.03 bhp,Automatic,5,625000
Volvo,XC40 D4 R-Design,2018,7,22000,Diesel,Diesel,1969 CC,190 bhp,Automatic,5,3400000
Audi,Q7 35 TDI Quattro Premium,2015,10,53000,Diesel,Diesel,2967 CC,241.4 bhp,Automatic,7,2650000
Maruti,Ciaz ZDi,2015,10,40000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,535000
Mercedes-Benz,S-Class S 350 CDI,2017,8,47000,Diesel,Diesel,2987 CC,282 bhp,Automatic,5,5850000
BMW,5 Series 523i,2010,15,72200,Petrol,Petrol,2497 CC,150 bhp,Automatic,5,975000
Hyundai,Elantra S,2016,9,49900,Petrol,Petrol,1797 CC,147.5 bhp,Manual,5,805000
Jaguar,XE 2016-2019 2.0L Diesel Prestige,2017,8,9000,Diesel,Diesel,1999 CC,177 bhp,Automatic,5,2625000
Tata,Nexon 1.2 Revotron XZ Plus Dual Tone,2018,7,11000,Petrol,Petrol,1198 CC,108.5 bhp,Manual,5,811000
Volkswagen,Vento Petrol Highline,2011,14,49000,Petrol,Petrol,1598 CC,103.6 bhp,Manual,5,375000
Hyundai,Elantra SX,2012,13,95000,Petrol,Petrol,1797 CC,147.5 bhp,Manual,5,550000
Skoda,Rapid 1.6 MPI AT Elegance,2016,9,11000,Petrol,Petrol,1598 CC,103.5 bhp,Automatic,5,645000
Mercedes-Benz,CLA 200 CGI Sport,2018,7,18000,Petrol,Petrol,1991 CC,183 bhp,Automatic,5,2550000
Maruti,Ertiga ZXI,2014,11,46100,Petrol,Petrol,1373 CC,93.7 bhp,Manual,7,599000
Mercedes-Benz,New C-Class C 200 AVANTGARDE,2017,8,16000,Petrol,Petrol,1991 CC,181.04 bhp,Automatic,5,2700000
Honda,City V AT,2017,8,18000,Petrol,Petrol,1497 CC,116.3 bhp,Automatic,5,875000
Toyota,Glanza V CVT,2019,6,9654,Petrol,Petrol,1197 CC,81.80 bhp,Automatic,5,894999
Maruti,Alto K10 VXI,2011,14,11000,Petrol,Petrol,998 CC,67.05 bhp,Manual,5,175000
Maruti,Swift VXI,2012,13,24300,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,340000
Toyota,Innova Crysta 2.8 ZX AT BSIV,2016,9,42163,Diesel,Diesel,2755 CC,171.5 bhp,Automatic,7,1525000
Tata,Nexon 1.5 Revotorq XZA Plus DualTone,2018,7,8000,Diesel,Diesel,1497 CC,108.5 bhp,Automatic,5,1025000
BMW,3 Series 320d Luxury Line,2016,9,30000,Diesel,Diesel,1995 CC,190 bhp,Automatic,5,2150000
Toyota,Camry 2.5 Hybrid,2016,9,41000,Petrol,Petrol,2494 CC,157.7 bhp,Automatic,5,1900000
BMW,5 Series 520d Luxury Line,2016,9,12000,Diesel,Diesel,1995 CC,190 bhp,Automatic,5,2900000
Toyota,Camry W4 (AT),2009,16,71000,Petrol,Petrol,2362 CC,164.7 bhp,Automatic,5,450000
Maruti,Ertiga BSIV ZXI Plus,2016,9,20000,Petrol,Petrol,1373 CC,91.1 bhp,Manual,7,850000
Volvo,XC90 T8 Excellence BSIV,2017,8,30000,Petrol,Petrol,1969 CC,400 bhp,Automatic,4,10000000
Volkswagen,Vento Diesel Highline,2011,14,100000,Diesel,Diesel,1598 CC,103.6 bhp,Manual,5,300000
Ford,Figo Aspire 1.2 Ti-VCT Trend,2018,7,9500,Petrol,Petrol,1196 CC,86.8 bhp,Manual,5,575000
Ford,Figo Diesel LXI,2011,14,120000,Diesel,Diesel,1399 CC,68 bhp,Manual,5,160000
Maruti,Swift VXI Optional,2015,10,36600,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,515000
Maruti,Wagon R AMT VXI,2015,10,50000,Petrol,Petrol,998 CC,67 bhp,Automatic,5,390000
Hyundai,i20 Magna 1.2,2016,9,14000,Petrol,Petrol,1197 CC,81.83 bhp,Manual,5,550000
Maruti,800 Std,1999,26,40000,Petrol,Petrol,796 CC,37 bhp,Manual,4,40000
Maruti,Ritz VDi,2010,15,120000,Diesel,Diesel,1248 CC,73.9 bhp,Manual,5,220000
Hyundai,Grand i10 Magna,2015,10,70000,Petrol,Petrol,1197 CC,82 bhp,Manual,5,425000
Volkswagen,Ameo 1.0 MPI Trendline,2019,6,13000,Petrol,Petrol,999 CC,75 bhp,Manual,5,480000
Hyundai,Grand i10 Sportz,2014,11,60000,Petrol,Petrol,1197 CC,82 bhp,Manual,5,400000
Maruti,Swift Dzire VXI,2014,11,35000,Petrol,Petrol,1197 CC,85.8 bhp,Manual,5,487000
Hyundai,Xcent 1.2 Kappa S,2016,9,44000,Petrol,Petrol,1197 CC,82 bhp,Manual,5,386000
Honda,City 1.5 EXI,2005,20,120000,Petrol,Petrol,1493 CC,100 bhp,Manual,5,100000
Toyota,Corolla Altis Diesel D4DG,2010,15,60000,Diesel,Diesel,1364 CC,87.2 bhp,Manual,5,300000
Daewoo,Matiz SD,2000,25,60000,Petrol,Petrol,796 CC,53 bhp,Manual,5,100000
Toyota,Fortuner 4x2 Manual,2014,11,30000,Diesel,Diesel,2982 CC,168.5 bhp,Manual,7,1750000
Mahindra,KUV 100 mFALCON G80 K8,2016,9,15000,Petrol,Petrol,1198 CC,82 bhp,Manual,6,450000
Tata,Zest Quadrajet 1.3 75PS XM,2017,8,90000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,490000
Honda,City 1.5 S MT,2009,16,47000,Petrol,Petrol,1497 CC,118 bhp,Manual,5,345000
Maruti,Zen LXI,2005,20,90000,Petrol,Petrol,993 CC,60 bhp,Manual,5,85000
Maruti,Wagon R VXI BS IV with ABS,2010,15,120600,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,215000
Hyundai,Verna Transform SX VTVT,2010,15,100000,Petrol,Petrol,1599 CC,103.2 bhp,Manual,5,320000
Maruti,Swift Dzire VXI,2016,9,60000,Petrol,Petrol,1197 CC,83.14 bhp,Manual,5,459999
Hyundai,Getz GLS,2005,20,86000,Petrol,Petrol,1341 CC,83 bhp,Manual,5,65000
Hyundai,Elite i20 Sportz Plus BSIV,2020,5,5000,Petrol,Petrol,1197 CC,81.86 bhp,Manual,5,720000
Maruti,Ciaz 1.3 Alpha,2017,8,37000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,800000
Tata,Tigor 1.2 Revotron XZ,2019,6,14000,Petrol,Petrol,1199 CC,84 bhp,Manual,5,520000
Maruti,Ertiga VDI,2015,10,70000,Diesel,Diesel,1248 CC,88.76 bhp,Manual,7,580000
Honda,City i VTEC S,2015,10,50000,Petrol,Petrol,1497 CC,117.3 bhp,Manual,5,600000
Honda,Brio S MT,2014,11,60000,Petrol,Petrol,1198 CC,86.8 bhp,Manual,5,290000
Maruti,Wagon R LXI CNG,2016,9,50000,CNG,Other,998 CC,58.16 bhp,Manual,5,360000
Maruti,Swift Dzire VXI,2017,8,50000,Petrol,Petrol,1197 CC,83.14 bhp,Manual,5,550000
Hyundai,i20 Sportz 1.2,2013,12,70000,Petrol,Petrol,1197 CC,82.85 bhp,Manual,5,375000
Maruti,Wagon R AMT VXI,2018,7,35000,Petrol,Petrol,998 CC,67 bhp,Automatic,5,420000
Maruti,Swift Dzire VXI 1.2,2017,8,20000,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,550000
Maruti,Alto 800 LXI,2018,7,20000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,270000
Maruti,Swift Dzire AMT VXI BS IV,2018,7,7800,Petrol,Petrol,1197 CC,81.80 bhp,Automatic,5,700000
Maruti,Swift VXI Optional,2017,8,20000,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,500000
Tata,Hexa XE,2019,6,15000,Diesel,Diesel,2179 CC,147.94 bhp,Manual,7,1250000
Hyundai,i20 Magna,2013,12,31377,Petrol,Petrol,1197 CC,82.85 bhp,Manual,5,320000
Maruti,Swift Dzire VDI,2018,7,50000,Diesel,Diesel,1248 CC,74.02 bhp,Manual,5,700000
Maruti,Wagon R VXI BS IV,2015,10,60000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,290000
Toyota,Corolla Altis 1.8 VL AT,2012,13,100000,Petrol,Petrol,1794 CC,138.1 bhp,Automatic,5,550000
Honda,Brio S MT,2012,13,60000,Petrol,Petrol,1198 CC,86.8 bhp,Manual,5,265000
Maruti,Baleno Alpha Automatic,2018,7,5000,Petrol,Petrol,1197 CC,83.1 bhp,Automatic,5,830000
Tata,Safari Storme EX,2017,8,60000,Diesel,Diesel,2179 CC,147.94 bhp,Manual,7,800000
Maruti,Alto LXi,2011,14,25000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,160000
Renault,KWID RXT,2018,7,30000,Petrol,Petrol,799 CC,53.3 bhp,Manual,5,335000
Datsun,GO T BSIV,2017,8,80000,Petrol,Petrol,1198 CC,67 bhp,Manual,5,329000
Maruti,Vitara Brezza VDi Option,2017,8,75000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,775000
Hyundai,Xcent 1.2 VTVT SX,2020,5,32000,Petrol,Petrol,1197 CC,81.86 bhp,Manual,5,524000
Maruti,Alto 800 LXI,2015,10,40000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,245000
Hyundai,i20 1.2 Sportz,2012,13,93000,Petrol,Petrol,1197 CC,80 bhp,Manual,5,275000
Tata,Zest Revotron 1.2 XT,2018,7,60000,Petrol,Petrol,1193 CC,88.7 bhp,Manual,5,520000
Nissan,Sunny XL,2014,11,37000,Petrol,Petrol,1498 CC,97.7 bhp,Manual,5,550000
Ford,EcoSport 1.5 Petrol Titanium Plus BSIV,2018,7,15000,Petrol,Petrol,1497 CC,121.36 bhp,Manual,5,910000
Nissan,Micra Active XV S,2015,10,80000,Petrol,Petrol,1198 CC,67.04 bhp,Manual,5,300000
Maruti,Wagon R LXI Optional,2016,9,140000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,350000
Mahindra,Ssangyong Rexton RX5,2013,12,70000,Diesel,Diesel,2696 CC,162 bhp,Manual,7,900000
Mahindra,Quanto C8,2013,12,120000,Diesel,Diesel,1493 CC,100 bhp,Manual,7,300000
Maruti,Ritz LDi,2010,15,110000,Diesel,Diesel,1248 CC,73.9 bhp,Manual,5,250000
Hyundai,Creta 1.6 CRDi SX Plus Dual Tone,2017,8,37000,Diesel,Diesel,1582 CC,126.2 bhp,Manual,5,1100000
Renault,KWID RXT,2016,9,44000,Petrol,Petrol,799 CC,53.3 bhp,Manual,5,270000
Maruti,Ertiga VDI,2015,10,80000,Diesel,Diesel,1248 CC,88.76 bhp,Manual,7,640000
Mahindra,XUV500 W4,2015,10,125000,Diesel,Diesel,2179 CC,140 bhp,Manual,7,650000
Maruti,Eeco 5 Seater AC BSIV,2017,8,13500,Petrol,Petrol,1196 CC,73 bhp,Manual,5,409999
Hyundai,Santro Xing GLS,2011,14,75000,Petrol,Petrol,1086 CC,62.1 bhp,Manual,5,165000
Hyundai,Accent GLE,2007,18,120000,Petrol,Petrol,1495 CC,94 bhp,Manual,5,80000
Mahindra,XUV500 W8 2WD,2012,13,120000,Diesel,Diesel,2179 CC,140 bhp,Manual,7,535000
